prompt_index,prompt,rank,event_id,title,category,date,start_time,venue,neighborhood,why
2,"I'm looking for yoga or meditation classes",8,c6b9c482-87e9-ba47-2946-946db19f2c21,"Morning Yoga at Bryant Park","Yoga & Pilates Classes",2026-07-28,10:00,"Bryant Park","Midtown (Bryant Park)","Bryant Park morning yoga — a reliable, well-run public class led by top instructors for an accessible practice."
2,"I'm looking for yoga or meditation classes",9,cab4a6b5-6a48-0f83-ebb7-37a9d44caa3d,"Hatha Flow","Yoga & Pilates Classes",2026-07-28,18:00,"St. John's Park","Tribeca / Hudson Square (St. John's Park)","Alignment-focused Hatha is a slower, mindful practice good for breath, body awareness, and accessibility."
2,"I'm looking for yoga or meditation classes",10,dc957c37-f21c-a287-1855-c7318197934c,"Sunset Yoga - July 28","Running & fitness",2026-07-28,18:00,"Pier 3 Central Lawn, Brooklyn Bridge Park","Brooklyn (Brooklyn Bridge Park - Pier 3)","Evening sunset yoga in a waterfront park — ideal for de-stressing with a calm, all-level class."
2,"I'm looking for yoga or meditation classes",11,d66196cd-fbcb-4207-1ef7-5614b488f2f1,"Chair Yoga at Greeley Square Park","Yoga & Pilates Classes",2026-07-29,11:00,"Greeley Square Park","Midtown (Greeley Square Park)","Rejuvenating, accessible chair yoga that centers body and mind—good for gentle practice."
2,"I'm looking for yoga or meditation classes",12,af8c9f26-4cbc-2414-34e8-765d1a7a801c,"Full Moon Yoga Club","Gardening",2026-07-29,18:30,"","Brooklyn (Backyard Garden location)","A special garden-based chair yoga + meditation on the Thunder Moon — intimate, meditative, and restorative."
2,"I'm looking for yoga or meditation classes",13,b99ce3aa-3fc8-0782-e184-2891c5b552aa,"Summer on the Hudson: Yoga- Evening Salute to the Sun","Yoga & Pilates Classes",2026-07-29,18:30,"Riverside Park South","Upper West Side / Riverside (Riverside Park South at 66th St)","Evening 'Salute to the Sun' yoga — gentle sunset practice suited for winding down the day."
2,"I'm looking for yoga or meditation classes",14,c500fa33-c1ad-f30e-fa76-c88d29b15e91,"Yoga in the Park","Yoga & Pilates Classes",2026-07-30,19:00,"Van Cortlandt Park","Bronx (Van Cortlandt Park)","Vinyasa plus sound meditation sessions that include breathwork and restorative sound — great if you want meditation with yoga."
2,"I'm looking for yoga or meditation classes",15,3a8ab712-1a7e-a8f7-0d0b-57e7337c8e43,"Prospect Park Yoga","Yoga",2026-07-30,19:00,"Prospect Park","Brooklyn (Prospect Park - Long Meadow)","Brooklyn Flow’s Prospect Park Yoga is a friendly, accessible outdoor class taught by top instructors — great community vibe."
3,"What live music or concerts are happening this week?",1,1adf0d47-5801-a7d1-7385-13926eaa2112,"Big City Folk in Greeley Square Park","Free Summer Concerts",2026-07-27,18:00,"Greeley Square Park","Midtown (Greeley Square Park)","Big City Folk showcases singer-songwriters — an easy, free Tuesday-evening live music option."
3,"What live music or concerts are happening this week?",2,b06b3bd8-428a-ad94-ef65-bb289b455712,"Ali Stroker","Live music",2026-07-27,18:30,"Hudson River Park","Clinton / Chelsea (Hudson River Park)","Ali Stroker performing free as part of Hudson River Park’s Broadway by the Boardwalk — an accessible, high-quality live-music pick for Monday evening."
3,"What live music or concerts are happening this week?",3,abc61b48-2dfc-6f08-5d66-0ca28cc8e0f5,"Debbie Knapper and the Knappertime Band","Live music",2026-07-28,18:30,"Hudson River Park","Clinton / Chelsea (Hudson River Park)","Debbie Knapper & the Knappertime Band on Hudson River Park’s free blues series — great if you want live band music Tuesday night."
3,"What live music or concerts are happening this week?",4,59ce3aaf-9fc1-633e-303a-c4e3ade889fd,"Summer on the Hudson: Mycelium - A Solar-Powered Concert","Waterfront",2026-07-28,19:00,"Riverside Park South","Upper West Side (Riverside Park South / Pier I)","Mycelium is a unique, solar-powered orchestral/avant-pop concert — an interesting live-music experience Wednesday evening."
3,"What live music or concerts are happening this week?",5,3bcffc43-a19c-d820-3739-12e8d7992bdd,"Midtown Music in Greeley Square Park","Free Summer Concerts",2026-07-29,14:30,"Greeley Square Park","Midtown (Bryant Park)","Midtown Music at Bryant Park offers a relaxed early-evening live set — good midweek listening."
3,"What live music or concerts are happening this week?",6,d3400513-b404-e3ba-e0bb-f0c6168e0212,"Hippo Playground Summer Concerts Featuring Esther Crow","Free Summer Concerts",2026-07-29,15:30,"Riverside Park","Upper West Side (Riverside Park / Hippo Playground)","Hippo Playground’s summer concert features Esther Crow — live singer-songwriter material Wednesday afternoon/early evening."
3,"What live music or concerts are happening this week?",7,98744771-3956-8de2-f799-a79f4d5eedbe,"Julieta Venegas / Lasso / Micro TDH / DJ Anamaria Sayre","Live Music",2026-07-29,18:00,"Manhattan","Central Park / Manhattan (Central Park SummerStage)","Big-name SummerStage lineup headlined by Julieta Venegas and other Latin artists — a highlight concert night Wednesday."
3,"What live music or concerts are happening this week?",8,d93a3c11-90aa-3a9a-5587-0f61e320995a,"UBB 40th Anniversary Celebration: BreakBeat Lou & Lord Finesse / Diamond D / Grand Puba / Sadat X / Nice & Smooth / Peter Gunz / DJ Boogie Blind","Live Music",2026-07-30,19:00,"Manhattan","Manhattan / SummerStage (large park venue)","UBB 40th Anniversary with legendary hip‑hop MCs and DJs — a standout live concert for Thursday night."
3,"What live music or concerts are happening this week?",9,3a967291-e244-0a2e-400c-49dc8d1c60e1,"Waterfront Concert Series: StrangeMagic","Waterfront",2026-07-30,19:30,"Astoria Park","Astoria (Astoria Park)","StrangeMagic (ELO tribute) at Astoria Park’s waterfront concert is a fun, upbeat live-music choice Thursday evening."
3,"What live music or concerts are happening this week?",10,58032615-cb7a-edf8-21d7-dc82ad983116,"Doug E. Fresh & Funk Flex Second Annual Hip-Hop Appreciation Park Jam","Live Music",2026-07-31,18:00,"Bronx","Bronx (outdoor park)","Doug E. Fresh & Funk Flex headline a Bronx SummerStage hip‑hop jam — perfect if you want classic hip‑hop live."
3,"What live music or concerts are happening this week?",11,e29b6e84-37c6-0119-7e92-eaca480f6893,"Bryant Park Picnic Performance: Carnegie Hall Citywide: El Laberinto del Coco","Free Summer Concerts",2026-07-31,19:00,"Bryant Park","Midtown (Bryant Park)","El Laberinto del Coco brings high-energy Afro–Puerto Rican bomba fusion to Bryant Park — a lively Friday concert."
3,"What live music or concerts are happening this week?",12,6e0bf96a-a433-b2cf-f21b-46ba4a3306d8,"Summer on the Hudson: Friday Night Jams featuring Christine Chanel","Waterfront",2026-07-31,19:00,"West Harlem Piers","Harlem (West Harlem Piers)","Friday Night Jams featuring Christine Chanel offers indie‑soul live music to start your weekend."
4,"Are there any workshops where I can learn a craft?",1,6cc59e2c-cfc3-1d52-34e2-5e7fb53da047,"The Bronx Museum Presents: Meet Me At The Park&#8212;Wood Carving With Artist Jill Cohen-Nu&#241;ez","Art",2026-07-29,15:00,"Joyce Kilmer Park","Bryant Park / Midtown","Free knitting instruction from Knitty City is a direct hands-on craft workshop where volunteers teach basic stitches and techniques."
4,"Are there any workshops where I can learn a craft?",2,b575e1e8-93a6-64b9-6a9b-cae6a17b2781,"Body-Centric Circuit Training","Strength Training/Weightlifting",2026-07-29,18:00,"McCarren Park","McCarren Park / Williamsburg","Body‑Centric Circuit Training teaches movement technique and could appeal if you want a hands‑on skill workshop."
4,"Are there any workshops where I can learn a craft?",3,4713920c-4284-acdd-8500-589b36c51c05,"Screen Printing for Beginners","Workshops",2026-07-30,13:00,"Kissena Park","Kissena Park / Flushing (Queens)","Screen Printing for Beginners is a focused, beginner-friendly hands-on craft workshop where you learn screen printing techniques and print your own item."
4,"Are there any workshops where I can learn a craft?",4,7d25101b-9bdb-5903-aaa5-b0c572820e39,"Beginner Crochet Workshop","Workshops",2026-07-30,15:00,"Kissena Park","Kissena Park / Flushing (Queens)","Beginner Crochet Workshop teaches crochet fundamentals with supplies provided — a classic craft workshop."
5,"I want to take my kids to something fun this week",1,4ecb8916-1954-ad39-af55-e1d97e86b59a,"Kids In Motion: Nautilus Playground","Family & kids",2026-07-28,10:00,"Roy Wilkins Recreation Center","Queens (inferred — Roy Wilkins Recreation Center / Nautilus Playground is in southeast Queens)","Free NYC Parks 'Kids In Motion' offers supervised outdoor games and water activities perfect for energetic kids."
5,"I want to take my kids to something fun this week",2,5424e829-8931-626b-6885-4a4bcc038154,"StoryTime at Bryant Park Reading Room","Family & kids",2026-07-28,10:30,"Bryant Park","Midtown (Bryant Park)","StoryTime at Bryant Park is a lively, short morning program with singing and 'Meowsic' — great for young kids."
5,"I want to take my kids to something fun this week",3,4b2a5242-7306-047b-8acc-342e60ff5c5b,"Giant Bubble at Greeley Square Park","Family & kids",2026-07-29,12:30,"Greeley Square Park","Midtown (Greeley Square Park)","Giant Bubble at Greeley Square Park is an interactive, whimsical afternoon activity kids love."
5,"I want to take my kids to something fun this week",4,3dc534f1-67e3-72e8-302e-cc85b2c019a1,"Kids in Motion: St. James Playground (Let's Make Clay Monsters)","Family & kids",2026-07-29,15:00,"St. James Park","Manhattan (St. James Park)","'Let's Make Clay Monsters' is a creative, supervised workshop that keeps kids engaged and proud of what they make."
5,"I want to take my kids to something fun this week",5,f5616214-2b8f-641c-580b-81def0576e78,"Kids in Motion: Metcalf Playground (Let's Make Clay Monsters)","Family & kids",2026-07-29,15:00,"Soundview Park","Bronx (Soundview Park / Metcalf Playground)","Kids in Motion 'Let's Make Clay Monsters' at Metcalf combines outdoor play with a fun craft session."
5,"I want to take my kids to something fun this week",6,3581f6f9-d74f-2930-7cbf-82903d7fd9b4,"Art in the Park","Family & kids",2026-07-29,15:00,"Washington Square Park","Greenwich Village (Washington Square Park)","Art in the Park offers free, drop-in art-making led by a resident playground educator — ideal for creative kids."
5,"I want to take my kids to something fun this week",7,9d339de4-da88-0a8c-daa3-b81c68fd93dc,"Movies Under the Stars: Spy Kids (2001)","Family & kids",2026-07-30,20:30,"Behagen Playground","Manhattan (Behagen Playground — East Harlem / Upper Manhattan area inferred)","Movies Under the Stars: Spy Kids is a family-friendly evening movie screening perfect for kids and a relaxed night out."
5,"I want to take my kids to something fun this week",8,af18d9a4-0efd-fcfc-9466-96920367e468,"Le Carrousel Extravaganza in Bryant Park","Family & kids",2026-07-31,10:00,"Bryant Park","Midtown (Bryant Park — Le Carrousel)","Le Carrousel Extravaganza mixes magic, puppetry, music and science for an all-ages high-energy morning show that kids love."
5,"I want to take my kids to something fun this week",9,b8563cbb-83f3-14ef-daf7-16743d25f211,"Movies Under the Stars: Spy Kids","Family & kids",2026-08-01,20:30,"Alexander Hamilton Playground","Hamilton Heights / Washington Heights (Alexander Hamilton Playground)","Another outdoor 'Spy Kids' screening option if you'd prefer a different neighborhood or timing."
6,"I want to do something active and energetic outdoors",1,9ad48c1e-d585-e3cb-98f2-556988d0b1d7,"Zumba - July 27","Running & fitness",2026-07-27,18:00,"Pier 3 Plaza, Brooklyn Bridge Park","DUMBO / Brooklyn Bridge Park (Brooklyn)","High-energy outdoor Zumba at Brooklyn Bridge Park that gets your heart pumping and matches your desire for an energetic outdoor activity."
6,"I want to do something active and energetic outdoors",2,89fb7d8c-5c60-9650-e249-0801209cf49a,"Riverside Field House: Bodyweight Blast","Exercise Classes",2026-07-28,08:00,"Riverside Park","Upper West Side (Riverside Park)","Bodyweight Blast in Riverside Park — high-energy bodyweight cardio and strength for a full-body outdoor workout."
6,"I want to do something active and energetic outdoors",3,d4aee0fe-6bb6-f0b2-725f-d6354ec22d7c,"Bodyroll","Exercise Classes",2026-07-28,09:30,"Washington Square Park","Greenwich Village / Washington Square Park (Manhattan)","Bodyroll dance practice — energetic, freeform movement and dance outdoors for an exhilarating workout."
6,"I want to do something active and energetic outdoors",4,1f345b4e-89f8-0be0-7ca8-f42e5cc5867d,"Cardio Sculpt","Exercise Classes",2026-07-29,09:00,"Torsney Playground","Chelsea / Hell's Kitchen (Torsney Playground, Manhattan)","Morning Cardio Sculpt outdoors — a focused, active class combining cardio and functional movements."
6,"I want to do something active and energetic outdoors",5,96f46f0d-7cd8-877a-bd8b-c266ea7edcd9,"Intermediate Canoeing","Urban Park Rangers",2026-07-29,10:00,"Inwood Hill Park","Inwood (Inwood Hill Park, Manhattan)","Intermediate Canoeing — an active, outdoor paddling option that’s energetic and on the water for a different kind of workout."
6,"I want to do something active and energetic outdoors",6,1fc825e3-14d5-2cb5-f1e2-277ab031cdea,"intenSati","Exercise Classes",2026-07-29,17:30,"Forest Park","Forest Park (Queens)","intenSati — a sweat-dripping, mood-lifting cardio class (dance + kickboxing) that's highly energetic and outdoors."
6,"I want to do something active and energetic outdoors",7,a381c4c9-c334-f39b-7cbc-f67da452832e,"Amp'd Bootcamp - July 29","Running & fitness",2026-07-29,18:00,"Pier 2 Turf, Brooklyn Bridge Park","DUMBO / Brooklyn Bridge Park (Brooklyn)","An intense, outdoor Amp'd Bootcamp (HIIT) on the waterfront — perfect if you want a sweat-dripping, energetic workout."
6,"I want to do something active and energetic outdoors",8,1b5926ed-70cf-1f1e-86af-a3b535460a9d,"Waterfront Workouts: Amp'd Bootcamp","Outdoor Fitness",2026-07-29,18:00,"Brooklyn Bridge Park","DUMBO / Brooklyn Bridge Park (Brooklyn)","Waterfront Workouts: Amp'd Bootcamp at Pier 2 — a high-intensity outdoor class with strength and plyometric training for a full-on energetic session."
6,"I want to do something active and energetic outdoors",9,c334df7f-644d-42ce-01b7-c383644d14dd,"Basic Canoeing and Nature Exploration","Urban Park Rangers",2026-07-30,11:00,"Willowbrook Park","Staten Island (Willowbrook Park)","Basic Canoeing and Nature Exploration — active paddling plus hiking/exploration for an energetic outdoor day."
6,"I want to do something active and energetic outdoors",10,f749b607-9d08-a926-659e-d3f1fb666aa1,"Greenbelt Adult Hike &#8211; Acme Pond","Hiking",2026-07-30,11:00,"Wolfe's Pond Park","Staten Island (Wolfe's Pond Park)","Greenbelt Adult Hike — a vigorous outdoor hike through forest trails for a solid active experience."
7,"I'm looking for a quiet, intellectual evening",1,4a641acd-3948-b9dc-28ba-0800ddfdea5d,"Reel Talks at Bryant Park: Conversation on Eric Rohmer","Accessible Activities",2026-07-27,12:30,"Bryant Park","Midtown (Bryant Park)","A lunchtime/early-afternoon conversation with André Aciman on Eric Rohmer — literary and film-focused, very cerebral."
7,"I'm looking for a quiet, intellectual evening",2,9e23084e-04fc-7dd9-3592-b1f00f72ec3b,"Robert Wright in Conversation with Bruce Feiler: Humanity, AI, and The God Test","Books & readings",2026-07-27,19:30,"The 92nd Street Y, New York","Upper East Side (92nd Street)","A thoughtful evening conversation on humanity, AI, and religion — ideal for a quiet, intellectual night."
7,"I'm looking for a quiet, intellectual evening",3,a71d7b10-5c9d-1a00-f971-165998c2b87e,"The Center for Fiction Presents Valeria Luiselli on Beginning Middle End","Books & readings",2026-07-28,19:00,"The Center for Fiction","Midtown / Gramercy area (The Center for Fiction is in Manhattan)","A focused author talk with Valeria Luiselli — literary and intellectually engaging."
7,"I'm looking for a quiet, intellectual evening",4,4104708b-a1c4-b962-8988-94934d7c6e71,"Annie Jacobsen with Elliot Ackerman: Nuclear War Scenarios","Books & readings",2026-07-29,19:30,"The 92nd Street Y, New York","Upper East Side (92nd Street)","A deep, policy-minded conversation about nuclear war scenarios — sober, intellectual evening programming."
7,"I'm looking for a quiet, intellectual evening",5,1a74d581-af44-12e8-ba48-3824e7e6189e,"Did the Ivy League Fail America?","Talks & lectures",2026-07-30,18:30,"Fabrik Tribeca","Tribeca","A panel-style lecture on higher education and society — thoughtful and debate-oriented for an intellectual evening."
7,"I'm looking for a quiet, intellectual evening",6,1f025e92-8039-2d72-9af4-89f218eaf3d9,"EAVESDROPPING: The Erotics of Listening","Film & cinema",2026-07-31,20:00,"The Lighthouse—Think Olio","Manhattan (Think Olio / Lighthouse venue)","An event titled 'The Erotics of Listening' sounds like a contemplative, listening-centered program — fits your quiet, intellectual mood."
8,"I want to feel connected to nature in the city",1,983b59c9-c007-5732-1148-ab2e2af2fe2f,"It's My Park at Highbridge Park","It's My Park",2026-07-27,09:00,"Highbridge Park","Highbridge (Washington Heights/Inwood area)","A hands-on volunteer session in Highbridge Park (tilling, composting, cleanup) — great for getting your hands in the soil and connecting to urban nature."
8,"I want to feel connected to nature in the city",2,fe19477a-0f43-b5a1-adbb-83ed2e80a941,"Trees Count at Washington Market Park","Workshops",2026-07-27,10:00,"Washington Market Park","Tribeca (Washington Market Park)","Tree-count volunteer event lets you learn tree ID and walk the park closely observing urban trees and their role in the neighborhood ecosystem."
8,"I want to feel connected to nature in the city",3,39cb07be-3270-182f-f7d8-89392d3eef7b,"Foragers in the Foodway","Gardening",2026-07-28,10:00,"Concrete Plant Park","Bronx — Concourse/Concourse Village (Concrete Plant Park)","Guided foraging with herbalists teaches you to identify edible/medicinal plants and tune into seasonal urban flora."
8,"I want to feel connected to nature in the city",4,e51a4ddf-f9cc-5c7a-5513-fa4094e24003,"Stewardship Morning at the Foodway","Gardening",2026-07-28,10:00,"Concrete Plant Park","Bronx — Concourse/Concourse Village (Concrete Plant Park)","Volunteer stewardship at the Bronx River Foodway connects you to native and edible plant care and habitat work."
8,"I want to feel connected to nature in the city",5,b0105eb8-cdbe-ccb7-fc84-736120b3aa88,"Wetlab Look-ins","Hiking & parks",2026-07-28,12:00,"Pier 40, Hudson River Park","Hudson River Park / West Village (Pier 40)","Meet Hudson River wildlife at the Pier 40 Wetlab to learn about local aquatic species and feel connected to the river ecosystem."
8,"I want to feel connected to nature in the city",6,59ce3aaf-9fc1-633e-303a-c4e3ade889fd,"Summer on the Hudson: Mycelium - A Solar-Powered Concert","Waterfront",2026-07-28,19:00,"Riverside Park South","Riverside / Upper West Side (Riverside Park South)","A solar-powered orchestral concert about hidden natural worlds — an atmospheric way to reflect on nature in the city at dusk."
8,"I want to feel connected to nature in the city",7,7cc03fa6-ef47-95b3-103b-7b9a5e877c1a,"Stargazing on the High Line","Astronomy",2026-07-28,20:15,"The High Line","Meatpacking / Chelsea (The High Line at 13th St.)","High Line stargazing pairs a pleasant elevated park walk with telescopes and astronomy — reconnect with the wider natural sky above the city."
8,"I want to feel connected to nature in the city",8,96f46f0d-7cd8-877a-bd8b-c266ea7edcd9,"Intermediate Canoeing","Urban Park Rangers",2026-07-29,10:00,"Inwood Hill Park","Inwood (Inwood Hill Park)","Canoeing with Urban Park Rangers puts you on the water to experience NYC’s natural waterways directly and intimately."
8,"I want to feel connected to nature in the city",9,8c95bc93-5322-cf14-1070-9ec435396f09,"Summer Spruce Up","Volunteer",2026-07-29,10:00,"Prospect Park","Prospect Park (Brooklyn)","Prospect Park Alliance's Summer Spruce Up is a hands-on way to restore habitat, remove invasives, and feel stewardship of green space."
8,"I want to feel connected to nature in the city",10,679dd576-95c7-dc37-a608-2fd3e234e385,"Expert-Led Explorations: Plankton - July 29","Hiking & parks",2026-07-29,16:00,"Pier 5, Brooklyn Bridge Park","DUMBO / Brooklyn Bridge Park (Pier 5)","Expert-led plankton exploration lets you collect water samples and observe microscopic life that sustain the estuary."
8,"I want to feel connected to nature in the city",11,85fd4591-8ad1-8cb1-84ab-fe41bb46bbb2,"Skyline CircleSing with Gaia Music Collective","Free Summer Concerts",2026-07-29,19:00,"Brooklyn Bridge Park","DUMBO / Brooklyn Bridge Park","Community circlesinging in Brooklyn Bridge Park is outdoors and communal — a soothing, nature-adjacent way to feel connected with others in a waterfront setting."
8,"I want to feel connected to nature in the city",12,0eba4583-43a2-cfb2-4a58-6db7160b5038,"Wild Inside (World Premiere)","Film & cinema",2026-07-29,19:30,"Central Park — Great Hill","Central Park — Upper West Side (Great Hill)","An outdoor film night in Central Park’s Great Hill offers a relaxed way to be in nature after dark, under the trees and sky."
8,"I want to feel connected to nature in the city",13,bcba8349-6609-70c6-52b7-18f72938d5d7,"Nature Exploration: Lake Appreciation","Nature Programs",2026-07-30,10:00,"Prospect Park","Prospect Park (Brooklyn)","Prospect Park’s Lake Appreciation offers guided nature activities and close-up views of underwater wildlife and the park’s aquatic ecology."
9,"I'm looking for a creative hands-on experience",1,6cc59e2c-cfc3-1d52-34e2-5e7fb53da047,"The Bronx Museum Presents: Meet Me At The Park&#8212;Wood Carving With Artist Jill Cohen-Nu&#241;ez","Art",2026-07-29,15:00,"Joyce Kilmer Park","Joyce Kilmer Park / Bronx (near Bronx Museum)","A hands-on wood-carving workshop led by an artist — great for someone wanting a tactile, creative experience."
9,"I'm looking for a creative hands-on experience",2,88ce72df-507c-f6ab-d827-e3d4b385f5d1,"Kids in Motion: Hunts Point Playground (Let's Make Clay Monsters)","Family & kids",2026-07-29,15:00,"Hunts Point Playground","Hunts Point / Bronx","A sculpting session (Let's Make Clay Monsters) — direct, hands-on creative making with clay."
9,"I'm looking for a creative hands-on experience",3,530b297f-e6ba-5820-b4b4-db0a0cbaa7c6,"Disability Pride Night: ‘Proud to Be Me’ Flag-Making Workshop","Theater",2026-07-29,17:30,"Poster House","Midtown / Poster House area (Manhattan)","A flag-making workshop using felt, yarn, and decorative materials — guided, hands-on, and explicitly creative."
9,"I'm looking for a creative hands-on experience",4,4713920c-4284-acdd-8500-589b36c51c05,"Screen Printing for Beginners","Workshops",2026-07-30,13:00,"Kissena Park","Kissena Park / Flushing (Queens)","A beginner-friendly screen printing workshop where you make your own printed tee or tote — hands-on and creative."
9,"I'm looking for a creative hands-on experience",5,313e308c-47bd-31a8-4e44-6b2cd75bcea7,"Cyanotype Workshop with Nadia","Gardening",2026-07-31,12:00,"Hunts Point Riverside Park","Hunts Point / Bronx","A cyanotype workshop that combines plant-picking and hands-on printing — very tactile and creative."
9,"I'm looking for a creative hands-on experience",6,9e2de9ee-5504-8017-d25b-389edfd2a90c,"Park Open Studio","Family & kids",2026-07-31,13:00,"Washington Square Park","Washington Square Park / Greenwich Village (Manhattan)","Park Open Studio is a drop-in hands-on artmaking session led by a teaching artist — perfect for creative, tactile play."
9,"I'm looking for a creative hands-on experience",7,d4e8f62b-2f0a-7238-1a78-6cd602d66f1b,"Incense and Smoke Wand Workshop with Lashette Williams","Art",2026-08-01,11:00,"Concrete Plant Park","Concrete Plant Park / Bronx River Foodway (Bronx)","A hands-on plant-based incense and smoke wand workshop where you make your own blends and wands."
10,"I want a relaxing, low-key evening after a stressful week",1,a91c0b37-35eb-4591-fe64-23c39b471965,"The Notebook (Rooftop Cinema)","Film & cinema",2026-07-27,22:20,"Rooftop Cinema Club Midtown","Midtown (West 37th St)","A classic romantic movie on a rooftop offers a cozy, low‑key atmosphere perfect for unwinding after a stressful week."
10,"I want a relaxing, low-key evening after a stressful week",2,dc957c37-f21c-a287-1855-c7318197934c,"Sunset Yoga - July 28","Running & fitness",2026-07-28,18:00,"Pier 3 Central Lawn, Brooklyn Bridge Park","Brooklyn Bridge Park / Brooklyn Heights (Pier 3)","A calm sunset yoga class is ideal for unwinding and restoring after a stressful week."
10,"I want a relaxing, low-key evening after a stressful week",3,63b4439c-c00f-4e85-f940-4a0b5d25340d,"Sunset Wednesdays: Stella Cole","Accessible Activities",2026-07-29,19:00,"Wave Hill","Riverdale / Wave Hill (Bronx)","A mellow evening concert (Sunset Wednesdays) with vocal jazz can feel like a soothing balm after a tough week."
10,"I want a relaxing, low-key evening after a stressful week",4,6483e074-b3f5-4f37-7844-6ed1ca8330d6,"Brooklyn Bridge Park Movies With A View presented by Persol","Free Summer Movies",2026-07-30,18:00,"Brooklyn Bridge Park","DUMBO / Brooklyn Bridge Park (Pier 1)","An outdoor movie with skyline/water views is relaxing and low‑energy — great for a soothing summer evening."
11,"What's happening at Bryant Park this week?",1,e6fb8080-2e6d-7408-dfc1-6453367c473a,"Le Carrousel Extravaganza","Hiking & parks",2026-07-27,10:00,"Bryant Park","Midtown (Bryant Park)","A morning family-friendly Le Carrousel Extravaganza right in Bryant Park—great if you want lively daytime park programming."
11,"What's happening at Bryant Park this week?",2,a9e65ecb-40da-74c6-c61a-57362d919f48,"Park Tour","Hiking & parks",2026-07-27,11:00,"Bryant Park","Midtown (Bryant Park)","A guided Park Tour at Bryant Park if you want to learn about the park’s history and design."
